x, y
0.010037943268353892, -0.007168458781361964
0.01338581248318948, -0.010752688172043001
0.018191496242143723, -0.016129032258064502
0.02717756394910949, -0.02508960573476704
0.0409111893486264, -0.04121863799283154
0.056447503197116715, -0.06093189964157708
0.07498942093324558, -0.09139784946236562
0.09131167633286497, -0.12186379928315416
0.10951501934480194, -0.1630824372759857
0.13487585492646084, -0.24193548387096775
0.13693458750706222, -1.0232974910394266
0.13849923303486333, -1.6164874551971327
0.17057206010641102, -1.4874551971326164
0.21408789166703177, -1.3691756272401434
0.26366508987303583, -1.2777777777777777
0.330930535527929, -1.189964157706093
0.4153565396068827, -1.1200716845878136
0.4463453890060095, -1.0896057347670252
0.5232991146814947, -0.9695340501792115
0.6347921959350477, -0.8082437275985663
0.7031362260976501, -0.6935483870967742
